,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
26,", KNN, DT, SVC, RF, XGB, GNB",RF,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
27,", KNN, DT, SVC, RF, XGB, GNB",RF,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
28,", KNN, DT, SVC, RF, XGB, GNB",RF,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
29,", KNN, DT, SVC, RF, XGB, GNB",RF,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
30,", KNN, DT, SVC, RF, XGB, GNB",RF,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
31,", KNN, DT, SVC, RF, XGB, GNB",RF,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
32,", KNN, DT, SVC, RF, XGB, GNB",XGB,av,0.1880409126671912,0.15027537372147914,0.8678206136900078,0.8646833443412653,0.8678206136900078,0.8647563969780996,0.7869620958751393,0.6071756019456931,0.6671508385216631
33,", KNN, DT, SVC, RF, XGB, GNB",XGB,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
34,", KNN, DT, SVC, RF, XGB, GNB",XGB,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
35,", KNN, DT, SVC, RF, XGB, GNB",XGB,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
36,", KNN, DT, SVC, RF, XGB, GNB",XGB,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
37,", KNN, DT, SVC, RF, XGB, GNB",XGB,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
38,", KNN, DT, SVC, RF, XGB, GNB",XGB,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
39,", KNN, DT, SVC, RF, XGB, GNB",XGB,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
40,", KNN, DT, SVC, RF, XGB, GNB",GNB,av,0.21951219512195122,0.17230527143981117,0.8481510621557828,0.8475177731134215,0.8481510621557828,0.8477956608191084,0.5292623514515807,0.5413992593984309,0.5347538959884517
41,", KNN, DT, SVC, RF, XGB, GNB",GNB,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
42,", KNN, DT, SVC, RF, XGB, GNB",GNB,pr,0.6797488226059655,0.3751962323390895,0.7770800627943485,0.7184851738101435,0.7770800627943485,0.7461771458675482,0.49508886462167445,0.5252179645653069,0.5093098164305595
43,", KNN, DT, SVC, RF, XGB, GNB",GNB,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
44,", KNN, DT, SVC, RF, XGB, GNB",GNB,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
45,", KNN, DT, SVC, RF, XGB, GNB",GNB,c,0.3715632364493323,0.23487824037706206,0.8334642576590731,0.8318552606851665,0.8334642576590731,0.8322914182818462,0.8058807275077949,0.7930275859733795,0.7989071703239219
46,", KNN, DT, SVC, RF, XGB, GNB",GNB,i,0.3409448818897638,0.24645669291338582,0.8007874015748031,0.804721041922373,0.8007874015748031,0.79648521313846,0.8075475729565958,0.7728423131688945,0.7844787973403529
47,", KNN, DT, SVC, RF, XGB, GNB",GNB,a,0.21445404556166536,0.1767478397486253,0.8421052631578947,0.8433790268820769,0.8421052631578947,0.8378270144600506,0.610265777772255,0.5834388325176829,0.5928260766085137
