,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
22,SVC,i,0.2912391475927388,0.20126282557221783,0.8437253354380426,0.8436073762918944,0.8437253354380426,0.8433755222596642,0.8370863250227196,0.8328003692927668,0.8346801938631363
23,SVC,a,0.16745283018867924,0.14072327044025157,0.8726415094339622,0.8560465343630854,0.8726415094339622,0.8642530624045063,0.5791018998272884,0.5894268045662469,0.5842106708405415
24,RF,av,0.15968379446640316,0.12490118577075099,0.8909090909090909,0.8902609391082082,0.8909090909090909,0.8877706994235651,0.8219295539341979,0.641742845326453,0.6883940183542328
25,RF,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
26,RF,pr,0.5718774548311076,0.3063629222309505,0.826394344069128,0.8270860421849008,0.826394344069128,0.8174835877916259,0.8458965331929501,0.7015294975681637,0.7513060723707187
27,RF,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
28,RF,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
29,RF,c,0.38757861635220126,0.235062893081761,0.8411949685534591,0.8402230159750644,0.8411949685534591,0.8369988182469578,0.8355030904538907,0.7738863408647081,0.7998862271887767
30,RF,i,0.30386740331491713,0.2107340173638516,0.8358326756116812,0.8356841507493555,0.8358326756116812,0.8352887091474015,0.8312128555850946,0.8229841815782114,0.8266809943918988
31,RF,a,0.1611635220125786,0.1360062893081761,0.8765723270440252,0.878440245332934,0.8765723270440252,0.8699436244768345,0.9160420340975897,0.6173789689725945,0.6372906452771315
32,XGB,av,0.16047430830039525,0.12569169960474308,0.8901185770750988,0.8888734717243155,0.8901185770750988,0.8863089850692374,0.8131843189332755,0.6292093640404177,0.6722067058195739
33,XGB,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
34,XGB,pr,0.5718774548311076,0.3063629222309505,0.826394344069128,0.8270860421849008,0.826394344069128,0.8174835877916259,0.8458965331929501,0.7015294975681637,0.7513060723707187
35,XGB,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
36,XGB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
37,XGB,c,0.3867924528301887,0.23427672955974843,0.8419811320754716,0.8411228277300051,0.8419811320754716,0.8378432603279193,0.8370662188548645,0.7752196741980416,0.801333874485306
38,XGB,i,0.31176006314127863,0.2138910812943962,0.835043409629045,0.8351243473674187,0.835043409629045,0.8344963019898751,0.8300438304763599,0.8221671881141591,0.8255811569492476
39,XGB,a,0.1611635220125786,0.1360062893081761,0.8765723270440252,0.8728192245596279,0.8765723270440252,0.8701836559078067,0.8053072229317441,0.6173789689725945,0.6355870037659984
40,GNB,av,0.3565217391304348,0.2189723320158103,0.8403162055335969,0.8734137253170315,0.8403162055335969,0.8540902233476285,0.49102325349015463,0.6508438646151408,0.5285722623350744
41,GNB,ac,0.12421383647798742,0.12421383647798742,0.8757861635220126,0.8951146743116206,0.8757861635220126,0.8845132667232325,0.6234982332155476,0.6640020110608346,0.6392357346468396
42,GNB,pr,0.617439120188531,0.3330714846818539,0.8091123330714847,0.8065308580711107,0.8091123330714847,0.8003450797333674,0.8068244495865979,0.673200910312621,0.7172270301302559
43,GNB,ui,0.13522012578616352,0.13522012578616352,0.8647798742138365,0.8687749440152974,0.8647798742138365,0.865897669523444,0.8510967601438323,0.8629139232568797,0.8560051810334159
44,GNB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
45,GNB,c,0.4834905660377358,0.28852201257861637,0.8089622641509434,0.8148975334282643,0.8089622641509434,0.8073092477617723,0.7915347443352778,0.7571106567985758,0.7667164612780727
46,GNB,i,0.3283346487766377,0.21783741120757696,0.8374112075769534,0.8400164443977397,0.8374112075769534,0.8376894414148531,0.8238424550919962,0.8339554313676425,0.8274210554183115
47,GNB,a,0.18474842767295596,0.1501572327044025,0.8671383647798742,0.862682815787168,0.8671383647798742,0.8647735999538104,0.6436009453777792,0.6257438260426308,0.6325782173768438
