,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.5852317360565593,0.3150039277297722,0.8201099764336214,0.8199433309353689,0.8201099764336214,0.8103317715717223,0.8357048466016644,0.6831051309591265,0.7326440341338966
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.1360062893081761,0.1360062893081761,0.8639937106918238,0.8643390328175627,0.8639937106918238,0.8641523349876773,0.8521146295664049,0.8537611846706703,0.8529217348412594
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.3867924528301887,0.23427672955974843,0.8419811320754716,0.8414928842780999,0.8419811320754716,0.8376165234407311,0.838825344952796,0.7734088055630393,0.800757599210067
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.2857142857142857,0.20205209155485399,0.8397790055248618,0.8398819097144569,0.8397790055248618,0.8390774357625186,0.8413199432273247,0.8198205381076443,0.8294806794420096
15,", KNN, DT, SVC, RF, XGB, GNB",DT,a,0.15959119496855345,0.13443396226415094,0.8781446540880503,0.8801231875338131,0.8781446540880503,0.8706843642379656,0.9165472586525217,0.6059717359518156,0.6142406559298251
16,", KNN, DT, SVC, RF, XGB, GNB",SVC,av,0.19130434782608696,0.13122529644268774,0.8932806324110671,0.894074767540069,0.8932806324110671,0.8902235873574664,0.7016078525299836,0.6296244859952614,0.6033270105224706
17,", KNN, DT, SVC, RF, XGB, GNB",SVC,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
18,", KNN, DT, SVC, RF, XGB, GNB",SVC,pr,0.5765907305577376,0.30950510604870385,0.8240377062058131,0.8248500558303297,0.8240377062058131,0.8150070201066137,0.8459200273996061,0.692673400982561,0.7432257141681173
19,", KNN, DT, SVC, RF, XGB, GNB",SVC,ui,0.1360062893081761,0.1360062893081761,0.8639937106918238,0.8643390328175627,0.8639937106918238,0.8641523349876773,0.8521146295664049,0.8537611846706703,0.8529217348412594
20,", KNN, DT, SVC, RF, XGB, GNB",SVC,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
21,", KNN, DT, SVC, RF, XGB, GNB",SVC,c,0.3915094339622642,0.23742138364779874,0.839622641509434,0.8387998272817657,0.839622641509434,0.8352891453750767,0.8344379943313798,0.7712196741980414,0.7977348742328134
22,", KNN, DT, SVC, RF, XGB, GNB",SVC,i,0.2920284135753749,0.2052091554853986,0.8382004735595896,0.8380087065353736,0.8382004735595896,0.8379911182771148,0.8349504766337442,0.8268112872529666,0.8307169626836508
23,", KNN, DT, SVC, RF, XGB, GNB",SVC,a,0.16273584905660377,0.1360062893081761,0.8773584905660378,0.8793294870916258,0.8773584905660378,0.8698397626846425,0.916436280017769,0.6050676083544609,0.613699892123707
24,", KNN, DT, SVC, RF, XGB, GNB",RF,av,0.1857707509881423,0.12885375494071147,0.8948616600790514,0.8945275089303582,0.8948616600790514,0.8913341730733036,0.7169525609704469,0.6307751260445931,0.6173992673992673
25,", KNN, DT, SVC, RF, XGB, GNB",RF,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
26,", KNN, DT, SVC, RF, XGB, GNB",RF,pr,0.5758051846032993,0.3087195600942655,0.8248232521602514,0.8251742941280351,0.8248232521602514,0.8159507169050498,0.8430865886406242,0.6981633866980145,0.7476681648151208
27,", KNN, DT, SVC, RF, XGB, GNB",RF,ui,0.1360062893081761,0.1360062893081761,0.8639937106918238,0.8643390328175627,0.8639937106918238,0.8641523349876773,0.8521146295664049,0.8537611846706703,0.8529217348412594
28,", KNN, DT, SVC, RF, XGB, GNB",RF,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
29,", KNN, DT, SVC, RF, XGB, GNB",RF,c,0.39072327044025157,0.23663522012578617,0.8404088050314465,0.8398007586014116,0.8404088050314465,0.8359353205001886,0.8358454306567005,0.7707421388963726,0.7978600647549476
30,", KNN, DT, SVC, RF, XGB, GNB",RF,i,0.2912391475927388,0.20599842146803474,0.8366219415943172,0.8367307057735969,0.8366219415943172,0.8362263175332284,0.834943428769332,0.8191511472662577,0.8262993852772719
