,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
11,DT,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
12,DT,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
13,DT,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
14,DT,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
15,DT,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
16,SVC,av,0.21951219512195122,0.16286388670338317,0.8615263571990559,0.8559400127408859,0.8615263571990559,0.8488605177895953,0.6381784711618973,0.451477907552229,0.4930193128662238
17,SVC,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
18,SVC,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
19,SVC,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
20,SVC,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
21,SVC,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
22,SVC,i,0.3417322834645669,0.24566929133858267,0.8023622047244094,0.8072077998678633,0.8023622047244094,0.8038139146243672,0.779150117537442,0.797539756841974,0.7872404438440617
23,SVC,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
24,RF,av,0.22344610542879623,0.16522423288749016,0.8599527930763179,0.8533837081482504,0.8599527930763179,0.8475015278261637,0.6081113325369887,0.44992027515347505,0.48918689492960526
25,RF,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
26,RF,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
27,RF,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
28,RF,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
29,RF,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
30,RF,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
31,RF,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
32,XGB,av,0.22029897718332023,0.16365066876475218,0.8607395751376868,0.8535385393674675,0.8607395751376868,0.8480805401984777,0.6082645961504037,0.450699091352852,0.48976004502712156
33,XGB,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
34,XGB,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
35,XGB,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
36,XGB,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
37,XGB,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
38,XGB,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
39,XGB,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
40,GNB,av,0.33988985051140835,0.20613690007867821,0.8442171518489379,0.8403685330035651,0.8442171518489379,0.8416677576338742,0.43153400475354226,0.4798443626685417,0.4384698010621742
41,GNB,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
42,GNB,pr,0.7566718995290423,0.4175824175824176,0.7519623233908949,0.6936317979437195,0.7519623233908949,0.7216128021727528,0.4719315756866524,0.512958301771215,0.4915837557099055
43,GNB,ui,0.16169544740973313,0.16169544740973313,0.8383045525902669,0.8530735979957785,0.8383045525902669,0.8412808381820381,0.8211275106512477,0.8458166743134299,0.8284051679045925
44,GNB,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
45,GNB,c,0.4344069128043991,0.27101335428122547,0.8106834249803614,0.819610712759303,0.8106834249803614,0.8048178615092331,0.8182587369480574,0.7549279013213068,0.7723842612464074
46,GNB,i,0.37401574803149606,0.26535433070866143,0.7889763779527559,0.7941074985509262,0.7889763779527559,0.7903377321419913,0.7638145563444318,0.7866637737883981,0.7733568610894221
47,GNB,a,0.21681068342498036,0.16967792615868027,0.8538884524744698,0.8571287932472915,0.8538884524744698,0.8522699895525094,0.6417561248155789,0.625184657592065,0.6310874000481543
